 cout variable 
  4.0 ,   48.0 ,   4.0 ,   49.0 ,   46.0 ,   17.0 ,   34.0 ,   38.0 ,   42.0 ,   19.0 ,   21.0 ,  
  34.0 ,   3.0 ,   43.0 ,   24.0 ,   31.0 ,   9.0 ,   36.0 ,   29.0 ,   9.0 ,   24.0 ,   9.0 ,  
  15.0 ,   40.0 ,   22.0 ,   12.0 ,   5.0 ,   7.0 ,   8.0 ,   24.0 ,   30.0 ,   28.0 ,   9.0 ,  
  13.0 ,   23.0 ,   34.0 ,   36.0 ,   49.0 ,   42.0 ,   11.0 ,   49.0 ,   40.0 ,   10.0 ,   12.0 ,  
  23.0 ,   20.0 ,   40.0 ,   29.0 ,   3.0 ,   3.0 ,   32.0 ,   15.0 ,   22.0 ,   3.0 ,   34.0 ,  
  31.0 ,   34.0 ,   14.0 ,   46.0 ,   15.0 ,   15.0 ,   11.0 ,   28.0 ,   9.0 ,   49.0 ,   4.0 ,  
  40.0 ,   35.0 ,   13.0 ,   44.0 ,   50.0 ,   12.0 ,   48.0 ,   15.0 ,   6.0 ,   4.0 ,   10.0 ,  
  12.0 ,   24.0 ,   23.0 ,   2.0 ,   1.0 ,   24.0 ,   28.0 ,   48.0 ,   16.0 ,   7.0 ,   30.0 ,  
  34.0 ,   4.0 ,   21.0 ,   34.0 ,   26.0 ,   10.0 ,   5.0 ,   7.0 ,   15.0 ,   25.0 ,   43.0 ,  
  45.0 ,   41.0 ,   2.0 ,   8.0 ,   20.0 ,   1.0 ,   34.0 ,   25.0 ,   1.0 ,   11.0 ,   24.0 ,  
  42.0 ,   44.0 ,   31.0 ,   45.0 ,   18.0 ,   31.0 ,   26.0 ,   36.0 ,   5.0 ,   25.0 ,   12.0 ,  
  42.0 ,   45.0 ,   3.0 ,   49.0 ,   47.0 ,   26.0 ,   50.0 ,   48.0 ,   44.0 ,   4.0 ,   32.0 ,  
  43.0 ,   24.0 ,   31.0 ,   10.0 ,   29.0 ,   41.0 ,   45.0 ,   28.0 ,   45.0 ,   33.0 ,   45.0 ,  
  13.0 ,   4.0 ,   12.0 ,   48.0 ,   20.0 ,   18.0 ,   25.0 ,   9.0 ,   15.0 ,   40.0 ,   44.0 ,  
  18.0 ,   31.0 ,   43.0 ,   37.0 ,   31.0 ,   15.0 ,   15.0 ,   16.0 ,   3.0 ,   7.0 ,   42.0 ,  
  43.0 ,   27.0 ,   26.0 ,   21.0 ,   27.0 ,   10.0 ,   2.0 ,   4.0 ,   50.0 ,   4.0 ,   5.0 ,  
  34.0 ,   45.0 ,   50.0 ,   3.0 ,   4.0 ,   4.0 ,   30.0 ,   3.0 ,   40.0 ,   11.0 ,   29.0 ,  
  29.0 ,   25.0 ,   7.0 ,   47.0 ,   44.0 ,   15.0 ,   29.0 ,   27.0 ,   32.0 ,   41.0 ,   46.0 ,  
  20.0 ,   23.0 ,   15.0 ,   30.0 ,   1.0 ,   37.0 ,   44.0 ,   18.0 ,   44.0 ,   20.0 ,   24.0 ,  
  48.0 ,   5.0 ,   10.0 ,   40.0 ,   13.0 ,   38.0 ,   48.0 ,   42.0 ,   38.0 ,   14.0 ,   46.0 ,  
  23.0 ,   45.0 ,   39.0 ,   25.0 ,   42.0 ,   27.0 ,   19.0 ,   12.0 ,   16.0 ,   9.0 ,   2.0 ,  
  38.0 ,   43.0 ,   21.0 ,   10.0 ,   20.0 ,   30.0 ,   25.0 ,   35.0 ,   2.0 ,   40.0 ,   1.0 ,  
